"","FoodType","ProvinceCode","N","Average_New","KCalories","Protein","Average_Protein"
"313","Makarooni",18,125,29.0647889422744,3.6,0.0642857142857143,1.86845071771764
"314","Mast",18,124,25.3365826021476,1.5,0.04,1.0134633040859
"315","Mive",18,131,150.668033786942,0.5,0,0
"316","Morgh",18,134,40.3580262498098,2,0.22,8.87876577495816
"317","Nan",18,139,411.165789671481,2.5,0.10125,41.6305362042374
"318","Panir",18,135,8.80281046820262,2.5,0.333333333333333,2.93427015606754
"319","Roghan",18,139,27.3802835511919,8,0,0
"320","Sabzi",18,146,190.838251356659,0.5,0.04,7.63353005426635
"321","Shir",18,62,23.2295621464785,2.5,0.0321428571428571,0.746664497565379
"322","Sibzamini",18,145,83.722425058277,0.9,0.03,2.51167275174831
"323","Tokhmemorgh",18,145,18.8094312341297,1.4,0.0882352941176471,1.65965569712909
"324","Berenj",19,86,30.2749570160659,1.2,0.09,2.72474613144593
"325","Ghand",19,246,21.3690756886932,4,0.03,0.641072270660797
"326","Goosht",19,156,7.06147258259141,2.5,0.225,1.58883133108307
"327","Hoboobat",19,150,12.3713463599014,3,0.1,1.23713463599014
"328","Khoshkbar",19,114,3.12757710660206,6,0.2,0.625515421320412
"329","Mahi",19,137,4.64934065267067,1,0.22,1.02285494358755
"330","Makarooni",19,193,24.8742389882732,3.6,0.0642857142857143,1.59905822067471
"331","Mast",19,181,27.9652017374223,1.5,0.04,1.11860806949689
"332","Mive",19,285,159.238251654509,0.5,0,0
"333","Morgh",19,268,61.5860734892336,2,0.22,13.5489361676314
"334","Nan",19,293,435.717380660333,2.5,0.10125,44.1163847918587
"335","Panir",19,100,3.97670771660521,2.5,0.333333333333333,1.3255692388684
"336","Roghan",19,200,23.6893433804336,8,0,0
"337","Sabzi",19,290,118.602164309309,0.5,0.04,4.74408657237237
"338","Shir",19,262,98.2427051384631,2.5,0.0321428571428571,3.15780123659346
"339","Sibzamini",19,149,26.9951965003949,0.9,0.03,0.809855895011847
"340","Tokhmemorgh",19,288,18.5050609847528,1.4,0.0882352941176471,1.63279949865466
